date,open,high,close,low,volume,p_change,最近N1个交易日最高价,最近N2个交易日最低价,当天的仓位,net,capital_index,策略每日涨跌幅
2015-07-28,51.3,56.3,50.79,50.79,232682.0,-9.99,94.0,46.13,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-29,51.3,55.0,54.7,46.8,276152.5,7.7,77.5,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-30,53.2,54.49,52.0,49.23,186038.88,-4.94,76.8,46.8,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-31,50.05,52.49,48.35,47.0,106676.41,-7.02,76.8,46.8,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-03,44.01,44.6,43.52,43.52,158694.33,-9.99,76.8,43.52,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-04,43.06,46.6,46.28,40.0,267389.28,6.34,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-05,45.58,46.28,44.5,43.1,177551.05,-3.85,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-06,42.88,44.26,43.8,41.98,100408.47,-1.57,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-07,44.9,48.18,48.18,44.5,91031.31,10.0,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-10,50.99,53.0,51.8,49.71,284186.53,7.51,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-11,51.18,53.28,51.58,50.7,192525.94,-0.42,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-12,50.05,50.95,47.63,47.16,139039.62,-7.66,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-13,46.3,50.48,50.0,46.26,114963.35,4.98,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-14,50.6,53.0,51.3,49.7,176123.88,2.6,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-17,50.97,54.0,54.0,49.0,192717.95,5.26,65.93,40.0,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-18,53.8,56.8,48.6,48.6,217095.94,-10.0,65.93,41.98,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-19,45.6,51.3,50.5,44.0,193481.75,3.91,65.93,41.98,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-20,50.2,51.69,47.77,47.77,152215.0,-5.41,65.93,44.0,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-21,45.41,47.0,43.75,43.65,126563.07,-8.41,65.93,43.65,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-24,40.5,42.0,39.38,39.38,46560.54,-9.99,56.8,39.38,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-25,35.44,35.44,35.44,35.44,21024.0,-10.01,56.8,35.44,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-26,32.5,34.99,31.9,31.9,258535.41,-9.99,56.8,31.9,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-08-27,31.9,33.5,32.69,28.71,285152.16,2.48,56.8,28.71,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-28,32.75,35.79,35.5,30.5,297875.62,8.6,56.8,28.71,0.0,0.9822447527594714,66.79264318764405,0.0
2015-08-31,35.0,35.0,31.95,31.95,191704.36,-10.0,56.8,28.71,0.0,0.9822447527594714,66.79264318764405,-0.0
